prompt,label,source
I need help with: What are the benefits of meditation?,benign,generated
Please answer: What are the benefits of meditation?,benign,generated
Could you explain: What are the benefits of meditation?,benign,generated
Help me understand: What are the benefits of meditation?,benign,generated
I'm curious about: What are the benefits of meditation?,benign,generated
What do you know about: What are the benefits of meditation?,benign,generated
How do I make a good cup of coffee?,benign,generated
Can you tell me: How do I make a good cup of coffee?,benign,generated
I need help with: How do I make a good cup of coffee?,benign,generated
Please answer: How do I make a good cup of coffee?,benign,generated
Could you explain: How do I make a good cup of coffee?,benign,generated
Help me understand: How do I make a good cup of coffee?,benign,generated
I'm curious about: How do I make a good cup of coffee?,benign,generated
What do you know about: How do I make a good cup of coffee?,benign,generated
List 5 healthy breakfast ideas,benign,generated
Can you tell me: List 5 healthy breakfast ideas,benign,generated
I need help with: List 5 healthy breakfast ideas,benign,generated
Please answer: List 5 healthy breakfast ideas,benign,generated
Could you explain: List 5 healthy breakfast ideas,benign,generated
Help me understand: List 5 healthy breakfast ideas,benign,generated
I'm curious about: List 5 healthy breakfast ideas,benign,generated
What do you know about: List 5 healthy breakfast ideas,benign,generated
What is the difference between SQL and NoSQL?,benign,generated
Can you tell me: What is the difference between SQL and NoSQL?,benign,generated
I need help with: What is the difference between SQL and NoSQL?,benign,generated
Please answer: What is the difference between SQL and NoSQL?,benign,generated
Could you explain: What is the difference between SQL and NoSQL?,benign,generated
Help me understand: What is the difference between SQL and NoSQL?,benign,generated
I'm curious about: What is the difference between SQL and NoSQL?,benign,generated
What do you know about: What is the difference between SQL and NoSQL?,benign,generated
How can I improve my public speaking skills?,benign,generated
Can you tell me: How can I improve my public speaking skills?,benign,generated
I need help with: How can I improve my public speaking skills?,benign,generated
Please answer: How can I improve my public speaking skills?,benign,generated
Could you explain: How can I improve my public speaking skills?,benign,generated
Help me understand: How can I improve my public speaking skills?,benign,generated
I'm curious about: How can I improve my public speaking skills?,benign,generated
What do you know about: How can I improve my public speaking skills?,benign,generated
What are the main components of a computer?,benign,generated
Can you tell me: What are the main components of a computer?,benign,generated
I need help with: What are the main components of a computer?,benign,generated
Please answer: What are the main components of a computer?,benign,generated
Could you explain: What are the main components of a computer?,benign,generated
Help me understand: What are the main components of a computer?,benign,generated
I'm curious about: What are the main components of a computer?,benign,generated
What do you know about: What are the main components of a computer?,benign,generated
Explain the water cycle,benign,generated
Can you tell me: Explain the water cycle,benign,generated
I need help with: Explain the water cycle,benign,generated
Please answer: Explain the water cycle,benign,generated
Could you explain: Explain the water cycle,benign,generated
Help me understand: Explain the water cycle,benign,generated
I'm curious about: Explain the water cycle,benign,generated
What do you know about: Explain the water cycle,benign,generated
How do I learn a new language effectively?,benign,generated
Can you tell me: How do I learn a new language effectively?,benign,generated
I need help with: How do I learn a new language effectively?,benign,generated
Please answer: How do I learn a new language effectively?,benign,generated
Could you explain: How do I learn a new language effectively?,benign,generated
Help me understand: How do I learn a new language effectively?,benign,generated
I'm curious about: How do I learn a new language effectively?,benign,generated
What do you know about: How do I learn a new language effectively?,benign,generated
What is machine learning?,benign,generated
Can you tell me: What is machine learning?,benign,generated
I need help with: What is machine learning?,benign,generated
Please answer: What is machine learning?,benign,generated
Could you explain: What is machine learning?,benign,generated
Help me understand: What is machine learning?,benign,generated
I'm curious about: What is machine learning?,benign,generated
What do you know about: What is machine learning?,benign,generated
Tell me about renewable energy sources,benign,generated
Can you tell me: Tell me about renewable energy sources,benign,generated
I need help with: Tell me about renewable energy sources,benign,generated
Please answer: Tell me about renewable energy sources,benign,generated
Could you explain: Tell me about renewable energy sources,benign,generated
Help me understand: Tell me about renewable energy sources,benign,generated
I'm curious about: Tell me about renewable energy sources,benign,generated
What do you know about: Tell me about renewable energy sources,benign,generated
How does the internet work?,benign,generated
Can you tell me: How does the internet work?,benign,generated
I need help with: How does the internet work?,benign,generated
Please answer: How does the internet work?,benign,generated
Could you explain: How does the internet work?,benign,generated
Help me understand: How does the internet work?,benign,generated
I'm curious about: How does the internet work?,benign,generated
What do you know about: How does the internet work?,benign,generated
What are the symptoms of a common cold?,benign,generated
Can you tell me: What are the symptoms of a common cold?,benign,generated
I need help with: What are the symptoms of a common cold?,benign,generated
Please answer: What are the symptoms of a common cold?,benign,generated
Could you explain: What are the symptoms of a common cold?,benign,generated
Help me understand: What are the symptoms of a common cold?,benign,generated
I'm curious about: What are the symptoms of a common cold?,benign,generated
What do you know about: What are the symptoms of a common cold?,benign,generated
How do I start a small business?,benign,generated
Can you tell me: How do I start a small business?,benign,generated
I need help with: How do I start a small business?,benign,generated
Please answer: How do I start a small business?,benign,generated
Could you explain: How do I start a small business?,benign,generated
Help me understand: How do I start a small business?,benign,generated
I'm curious about: How do I start a small business?,benign,generated
What do you know about: How do I start a small business?,benign,generated
Explain blockchain technology,benign,generated
Can you tell me: Explain blockchain technology,benign,generated
I need help with: Explain blockchain technology,benign,generated
Please answer: Explain blockchain technology,benign,generated
Could you explain: Explain blockchain technology,benign,generated
Help me understand: Explain blockchain technology,benign,generated
I'm curious about: Explain blockchain technology,benign,generated
What do you know about: Explain blockchain technology,benign,generated
What are the best practices for time management?,benign,generated
Can you tell me: What are the best practices for time management?,benign,generated
I need help with: What are the best practices for time management?,benign,generated
Please answer: What are the best practices for time management?,benign,generated
Could you explain: What are the best practices for time management?,benign,generated
Help me understand: What are the best practices for time management?,benign,generated
I'm curious about: What are the best practices for time management?,benign,generated
What do you know about: What are the best practices for time management?,benign,generated
How do ecosystems maintain balance?,benign,generated
Can you tell me: How do ecosystems maintain balance?,benign,generated
I need help with: How do ecosystems maintain balance?,benign,generated
Please answer: How do ecosystems maintain balance?,benign,generated
Could you explain: How do ecosystems maintain balance?,benign,generated
Help me understand: How do ecosystems maintain balance?,benign,generated
I'm curious about: How do ecosystems maintain balance?,benign,generated
What do you know about: How do ecosystems maintain balance?,benign,generated
What is the history of the internet?,benign,generated
Can you tell me: What is the history of the internet?,benign,generated
I need help with: What is the history of the internet?,benign,generated
Please answer: What is the history of the internet?,benign,generated
Could you explain: What is the history of the internet?,benign,generated
Help me understand: What is the history of the internet?,benign,generated
I'm curious about: What is the history of the internet?,benign,generated
What do you know about: What is the history of the internet?,benign,generated
How do I write a good resume?,benign,generated
Can you tell me: How do I write a good resume?,benign,generated
I need help with: How do I write a good resume?,benign,generated
Please answer: How do I write a good resume?,benign,generated
Could you explain: How do I write a good resume?,benign,generated
Help me understand: How do I write a good resume?,benign,generated
I'm curious about: How do I write a good resume?,benign,generated
What do you know about: How do I write a good resume?,benign,generated
Explain the theory of evolution,benign,generated
Can you tell me: Explain the theory of evolution,benign,generated
I need help with: Explain the theory of evolution,benign,generated
Please answer: Explain the theory of evolution,benign,generated
Could you explain: Explain the theory of evolution,benign,generated
Help me understand: Explain the theory of evolution,benign,generated
I'm curious about: Explain the theory of evolution,benign,generated
What do you know about: Explain the theory of evolution,benign,generated
What are the types of artificial intelligence?,benign,generated
Can you tell me: What are the types of artificial intelligence?,benign,generated
I need help with: What are the types of artificial intelligence?,benign,generated
Please answer: What are the types of artificial intelligence?,benign,generated
Could you explain: What are the types of artificial intelligence?,benign,generated
Help me understand: What are the types of artificial intelligence?,benign,generated
I'm curious about: What are the types of artificial intelligence?,benign,generated
What do you know about: What are the types of artificial intelligence?,benign,generated
How does the stock market work?,benign,generated
Can you tell me: How does the stock market work?,benign,generated
I need help with: How does the stock market work?,benign,generated
Please answer: How does the stock market work?,benign,generated
Could you explain: How does the stock market work?,benign,generated
Help me understand: How does the stock market work?,benign,generated
I'm curious about: How does the stock market work?,benign,generated
What do you know about: How does the stock market work?,benign,generated
What is cryptocurrency?,benign,generated
Can you tell me: What is cryptocurrency?,benign,generated
I need help with: What is cryptocurrency?,benign,generated
Please answer: What is cryptocurrency?,benign,generated
Could you explain: What is cryptocurrency?,benign,generated
Help me understand: What is cryptocurrency?,benign,generated
I'm curious about: What is cryptocurrency?,benign,generated
What do you know about: What is cryptocurrency?,benign,generated
Explain the concept of supply and demand,benign,generated
Can you tell me: Explain the concept of supply and demand,benign,generated
I need help with: Explain the concept of supply and demand,benign,generated
Please answer: Explain the concept of supply and demand,benign,generated
Could you explain: Explain the concept of supply and demand,benign,generated
Help me understand: Explain the concept of supply and demand,benign,generated
I'm curious about: Explain the concept of supply and demand,benign,generated
What do you know about: Explain the concept of supply and demand,benign,generated
How do I become a better writer?,benign,generated
Can you tell me: How do I become a better writer?,benign,generated
I need help with: How do I become a better writer?,benign,generated
Please answer: How do I become a better writer?,benign,generated
Could you explain: How do I become a better writer?,benign,generated
Help me understand: How do I become a better writer?,benign,generated
I'm curious about: How do I become a better writer?,benign,generated
What do you know about: How do I become a better writer?,benign,generated
What is the greenhouse effect?,benign,generated
Can you tell me: What is the greenhouse effect?,benign,generated
I need help with: What is the greenhouse effect?,benign,generated
Please answer: What is the greenhouse effect?,benign,generated
Could you explain: What is the greenhouse effect?,benign,generated
Help me understand: What is the greenhouse effect?,benign,generated
I'm curious about: What is the greenhouse effect?,benign,generated
What do you know about: What is the greenhouse effect?,benign,generated
